id,epica_id,tipo,track,fecha_inicio,fecha_fin,dia_pgt,categoria,tarea,prioridad,estado,fecha_entrega,link,evidencia,metrica,notas
DRUPAL-D-10,EPIC-DRUPAL,subtarea,drupal,,,,migración,QA checklist SEO por tour,P0,pendiente,,,03-seo/guias/MIGRACION-SEO-CAMPO-A-CAMPO.md,,
DRUPAL-D-11,EPIC-DRUPAL,subtarea,drupal,2026-09-01,,D6,migración,Bloqueo Pathauto /tour/{slug}/,P0,bloqueado,,,,,Einel
DRUPAL-D-12,EPIC-DRUPAL,subtarea,drupal,2026-09-01,,D6,migración,Bloqueo JSON:API staging,P0,bloqueado,,,,,Einel
DRUPAL-D-13,EPIC-DRUPAL,subtarea,drupal,2026-09-01,,D6,migración,Bloqueo WhatsApp en staging,P0,bloqueado,,,,,Einel/dev
EPIC-WEB,EPIC-WEB,epica,codigo-web,2026-08-31,,D4,producto,Construir sitio Next.js EN (pgt-web) — reemplazo WordPress + cutover,P0,en_progreso,2026-09-16,https://perugrandtravel.vercel.app,../pgt-web/docs/ESTADO-PROYECTO.md,591 rutas SSG,Pista B experimento 4 · separada de migración Drupal manual
WEB-W-01,EPIC-WEB,subtarea,codigo-web,2026-08-31,,,producto,Scaffold Next.js + MVP home/packages/tour/blog,P0,hecho,,,../pgt-web/,,
WEB-W-02,EPIC-WEB,subtarea,codigo-web,2026-08-31,,,producto,Scrape SSG 69 tours + 452 blogs + 62 pages,P0,hecho,,,../pgt-web/src/content/,591 rutas,
WEB-W-03,EPIC-WEB,subtarea,codigo-web,2026-08-31,,,producto,GTM + dataLayer whatsapp_click,P0,hecho,,,../pgt-web/src/lib/analytics.ts,,
WEB-W-04,EPIC-WEB,subtarea,codigo-web,2026-09-01,,,producto,Pipeline WebP self-hosted imágenes,P0,hecho,,,../pgt-web/,~646 img,
WEB-W-05,EPIC-WEB,subtarea,codigo-web,2026-09-01,,,producto,TrustBar + WA sticky + BlogLeadCTA + hubs dual CTA,P0,hecho,,,../pgt-web/,,
WEB-W-06,EPIC-WEB,subtarea,codigo-web,2026-09-01,,,producto,PackageGrid + tour cards v2 conversión,P0,hecho,,,../pgt-web/,,
WEB-W-07,EPIC-WEB,subtarea,codigo-web,2026-09-01,,,producto,Trip finder + búsqueda global + heroes conversión,P0,hecho,,,../pgt-web/,,
WEB-W-08,EPIC-WEB,subtarea,codigo-web,2026-09-01,,,producto,Destinos dropdown + páginas región Perú,P0,hecho,,,../pgt-web/,,
WEB-W-09,EPIC-WEB,subtarea,codigo-web,2026-09-01,,,producto,117 redirects blog dual URL,P0,hecho,,,../pgt-web/data/redirects.json,117,
WEB-W-10,EPIC-WEB,subtarea,codigo-web,2026-09-01,,,producto,sitemap + robots + llms.txt + JSON-LD,P0,hecho,,,../pgt-web/,,
WEB-W-11,EPIC-WEB,subtarea,codigo-web,2026-09-01,,,producto,Scripts parity + pre-cutover-checklist,P0,hecho,,,../pgt-web/scripts/pre-cutover-checklist.sh,30/30,
WEB-W-12,EPIC-WEB,subtarea,codigo-web,2026-09-01,,,producto,Integraciones Google scripts + verify 7/7,P0,hecho,,,../pgt-web/docs/GUIA-CONEXION-GOOGLE.md,7/7,
WEB-W-13,EPIC-WEB,subtarea,codigo-web,2026-09-01,,,producto,Pipeline precios OTAS merge+apply (código),P0,en_progreso,,,../pgt-web/scripts/,,
WEB-W-14,EPIC-WEB,subtarea,codigo-web,2026-09-02,,,producto,Fix duración tours + itinerarios day-tours,P0,hecho,,,../pgt-web/,67/70 itin,
WEB-W-15,EPIC-WEB,subtarea,codigo-web,2026-09-02,,,producto,Preview perugrandtravel.vercel.app sin SSO,P0,hecho,,,https://perugrandtravel.vercel.app,,
WEB-W-16,EPIC-WEB,subtarea,codigo-web,2026-09-02,,,producto,noindex en vercel.app + NEXT_PUBLIC_SITE_URL,P0,hecho,,,../pgt-web/,,
WEB-W-17,EPIC-WEB,subtarea,codigo-web,2026-09-02,,,producto,Blueprint Fase A beta + guía DNS,P0,hecho,,,../pgt-web/docs/BLUEPRINT-FASE-A-BETA-CUTOVER.md,,
WEB-W-18,EPIC-WEB,subtarea,codigo-web,2026-09-02,,,producto,Tag GTM whatsapp_click → GA4 conversión,P0,pendiente,,,../pgt-web/docs/CUTOVER.md,,30 min UI
WEB-W-19,EPIC-WEB,subtarea,codigo-web,2026-09-02,,,producto,QA manual preview 10 puntos,P0,pendiente,,,../pgt-web/docs/REPORTE-AVANCE-JAIRO.md,,
WEB-W-20,EPIC-WEB,subtarea,codigo-web,,,,producto,CSV tarifario 2026 + precios:apply,P0,pendiente,,,../pgt-web/,,Validar con Ricardo
WEB-W-21,EPIC-WEB,subtarea,codigo-web,2026-09-03,,,producto,DNS beta next.perugrandtravel.com (WHM CNAME 2 campos),P0,en_progreso,,,../pgt-web/docs/HOSTING-DNS-VERCEL-VS-BANAHOSTING.md,NXDOMAIN 3 sep,Nombre=next CNAME=cname.vercel-dns.com. · cPanel 500 load 47-58
WEB-W-22,EPIC-WEB,subtarea,codigo-web,,,,producto,Cutover DNS prod,P0,pendiente,,,../pgt-web/docs/BLUEPRINT-FASE-A-BETA-CUTOVER.md,,
PRE-01,,tarea,seo-operaciones,2026-08-09,,,pre-pgt/investigación,Intel corporativa PGT (RUC RNP Camino Inca),P0,hecho,,,archivo-original/empleo-seo/01-INSIGHTS-Peru-Grand-Travel.md,,
PRE-02,,tarea,seo-operaciones,2026-08-09,,,pre-pgt/auditoría,Crawl HTTP 4 dominios EN/ES/PT/IT,P0,hecho,,,archivo-original/empleo-seo/02-AUDITORIA-SEO-TECNICA-preliminar.md,,
PRE-03,,tarea,seo-operaciones,2026-08-13,,,pre-pgt/auditoría,Documento auditoría SEO 5 hallazgos críticos,P0,hecho,,https://jairosaul.com/peru-grand-travel,https://jairosaul.com/peru-grand-travel,,
PRE-04,,tarea,seo-operaciones,2026-08-15,,,pre-pgt/hreflang,Mapa equivalencias ~60 tours EN|ES|PT|IT,P1,hecho,,,archivo-original/empleo-seo/equivalencias-hreflang.csv,,
PRE-05,,tarea,seo-operaciones,2026-08-15,,,pre-pgt/hreflang,Análisis gaps catálogo entre dominios,P1,hecho,,,archivo-original/empleo-seo/gaps-de-catalogo.csv,,
PRE-06,,tarea,seo-operaciones,2026-08-18,,,pre-pgt/código,auditor_seo.py crawl automático,P1,hecho,,,archivo-original/empleo-seo/auditor_seo.py,,
PRE-07,,tarea,seo-operaciones,2026-08-18,,,pre-pgt/código,Prototipo hreflang-multidominio.php,P1,hecho,,,archivo-original/empleo-seo/hreflang-multidominio.php,,
PRE-08,,tarea,seo-operaciones,2026-08-20,,,pre-pgt/código,generar_mapa_hreflang.py,P1,hecho,,,archivo-original/empleo-seo/generar_mapa_hreflang.py,,
PRE-09,,tarea,seo-operaciones,2026-08-22,,,pre-pgt/contenido,Plantillas JSON-LD turismo,P1,hecho,,,archivo-original/empleo-seo/plantillas-jsonld-turismo.md,,
PRE-10,,tarea,seo-operaciones,2026-08-22,,,pre-pgt/estrategia,Benchmark competidores Cusco,P0,hecho,,,archivo-original/empleo-seo/08-BENCHMARK-COMPETIDORES-CUSCO.md,,
PRE-11,,tarea,seo-operaciones,2026-08-22,,,pre-pgt/estrategia,Playbook aportes 90 días,P0,hecho,,,archivo-original/empleo-seo/14-PLAYBOOK-APORTES.md,,
PRE-12,,tarea,seo-operaciones,2026-08-24,,,pre-pgt/portafolio,Página jairosaul.com/peru-grand-travel,P0,hecho,,https://jairosaul.com/peru-grand-travel,https://jairosaul.com/peru-grand-travel,,
PRE-13,,tarea,seo-operaciones,2026-08-24,,,pre-pgt/portafolio,Correo + CV postulación,P0,hecho,,,archivo-original/empleo-seo/15-CORREO-CV.md,,
PRE-14,,tarea,seo-operaciones,2026-08-24,,,pre-pgt/contenido,Guion video auditoría Loom,P0,hecho,,,archivo-original/empleo-seo/10-GUION-VIDEO.md,,
PRE-15,,tarea,seo-operaciones,2026-08-31,,,pre-pgt/contenido,30 artículos SEO/GEO MDX,P0,hecho,,,conocimiento/articulos-jairosaul/,,
PRE-16,,tarea,seo-operaciones,2026-08-24,,,pre-pgt/negociación,Guiones entrevista + KPIs sueldo,P0,hecho,,,archivo-original/empleo-seo/05-GUIONES-contacto-entrevista-negociacion.md,,
OPS-01,,tarea,seo-operaciones,2026-08-25,,D1,onboarding,Setup accesos marketing@ NAS Drive WA,P0,hecho,,,01-situacion/BITACORA.md,,
OPS-02,,tarea,seo-operaciones,2026-08-25,,D1,onboarding,Confirmación bloques tours 3 + blogs 4,P0,hecho,,,03-seo/BLOQUE-JAIRO.md,,
OPS-03,,tarea,seo-operaciones,2026-08-25,,D1,negociación,Pacto oral Clever S/3500 → ~25 sep S/5000,P0,hecho,,,07-negociacion/WHATSAPP-PACTO-REVISADO.md,,
OPS-04,,tarea,seo-operaciones,,,,negociación,WhatsApp pacto 25 sep por escrito,P0,pendiente,,,07-negociacion/WHATSAPP-PACTO-REVISADO.md,,
OPS-05,,tarea,seo-operaciones,2026-08-26,,D2,datos,Análisis bloque 18 tours + 115 blogs,P0,hecho,,,03-seo/ANALISIS-BLOQUE-JAIRO-2026-08-25.md,,
OPS-06,,tarea,seo-operaciones,2026-08-26,,D2,datos,CSV prioridades P0/P1 bloque,P0,hecho,,,03-seo/datos/PRIORIDAD-ACCION-JAIRO-2026-08-26.csv,,
OPS-07,,tarea,seo-operaciones,2026-08-26,,D2,datos,Inventario Drive + mapa GA4,P1,hecho,,,02-empresa/DRIVE-INVENTARIO.md,,
OPS-08,,tarea,seo-operaciones,2026-08-26,,D2,estrategia,Borrador plan SEO Clever v1,P1,hecho,,,03-seo/PLAN-SEO-PARA-CLEVER-BORRADOR.md,,
OPS-09,,tarea,seo-operaciones,2026-08-27,,D3,datos,Línea base GSC sitio 28d,P0,hecho,,,03-seo/informes/2026-08-27-interno.md,643 clics,
OPS-10,,tarea,seo-operaciones,2026-08-27,,D3,equipo,Identificar interino Einel,P1,hecho,,,01-situacion/BITACORA.md,,
OPS-11,,tarea,seo-operaciones,2026-09-01,,D6,informes,Informes internos días 1–6,P1,hecho,,,03-seo/informes/,,
OPS-12,,tarea,seo-operaciones,2026-08-28,,D4,auditoría,Staging Drupal vs WP Things MP + Salkantay,P0,hecho,,,03-seo/auditorias/,2 auditorías P0,
OPS-13,,tarea,seo-operaciones,2026-08-28,,D4,datos,Inventario 133 URLs bloque,P0,hecho,,,03-seo/datos/inventario-bloque-jairo.csv,133,
OPS-14,,tarea,seo-operaciones,2026-08-28,,D4,migración,Mapa 25 URLs prioritarias WP→Drupal,P0,hecho,,,03-seo/datos/mapa-urls-wp-drupal.csv,,
OPS-15,,tarea,seo-operaciones,2026-08-28,,D4,migración,Checklist pre-launch Drupal,P0,hecho,,,03-seo/migracion/CHECKLIST-PRE-LAUNCH-DRUPAL.md,,
OPS-16,,tarea,seo-operaciones,2026-08-28,,D4,migración,Playbook migración WP→Drupal,P1,hecho,,,08-investigacion/MIGRACION-WP-DRUPAL-PLAYBOOK.md,,
OPS-17,,tarea,seo-operaciones,2026-08-28,,D4,migración,Esquema migración maestro,P1,hecho,,,08-investigacion/ESQUEMA-MIGRACION-MAESTRO.md,,
OPS-18,,tarea,seo-operaciones,2026-08-28,,D4,prod,Fix CTR blog Things MP Rank Math,P0,hecho,,,03-seo/informes/2026-08-28-things-mp-optimizacion.md,6115 imp,
OPS-19,,tarea,seo-operaciones,2026-08-28,,D4,prod,Indexación GSC Things MP,P1,hecho,,,03-seo/guias/GSC-SOLICITAR-INDEXACION.md,,
OPS-20,,tarea,seo-operaciones,2026-08-29,,D5,carrera,Plan 30 días → S/5000,P1,hecho,,,mi-carrera/PLAN-30-DIAS-5000.md,,
OPS-21,,tarea,seo-operaciones,2026-08-29,,D5,auditoría,Revisión staging delta 29 ago,P1,hecho,,,08-investigacion/DRUPAL-STAGING-REVISION-2026-08-29.md,,
OPS-22,,tarea,seo-operaciones,2026-09-01,,D6,carrera,Estrategia experimento 4 personas,P1,hecho,,,mi-carrera/EXPERIMENTO-4-ESTRATEGIA-JAIRO.md,,
OPS-23,,tarea,seo-operaciones,2026-09-01,,D6,informes,Informe maestro + externo semana 1,P0,hecho,,,mi-carrera/INFORME-EXTERNO-SEMANA1-JAIRO.md,6/7 entregables,
OPS-24,,tarea,seo-operaciones,2026-09-01,,D6,datos,Mapa 454 redirects blog categoría→limpia,P0,hecho,,,03-seo/datos/keywords-canibalizacion-2026-08-31/redirects-blog-301.csv,454,
OPS-25,,tarea,seo-operaciones,2026-09-01,,D6,datos,Inventario sitemap live,P1,hecho,,,03-seo/datos/inventario-sitemap-2026-08-31/,69+452+62,
OPS-26,,tarea,seo-operaciones,2026-09-01,,D6,datos,Export GSC 15k filas automatizado,P0,hecho,,,03-seo/datos/gsc-export-2026-09-01/,15101,
OPS-27,,tarea,seo-operaciones,2026-09-01,,D6,datos,Export GA4 landings + eventos,P1,hecho,,,03-seo/datos/ga4-export-2026-09-01/,174 landings,
OPS-28,,tarea,seo-operaciones,2026-09-01,,D6,automation,9 scripts Python/Bash SEO migración,P1,hecho,,,03-seo/scripts/,9 scripts,
OPS-29,,tarea,seo-operaciones,2026-09-01,,D6,aprendizaje,15 docs currículo Drupal,P2,hecho,,,10-aprendizaje/drupal/,15 docs,
OPS-30,,tarea,seo-operaciones,2026-09-01,,D6,aprendizaje,101 capturas admin Drupal,P2,hecho,,,10-aprendizaje/drupal/13-INDICE-CAPTURAS-DRUPAL.md,101,
OPS-31,,tarea,seo-operaciones,2026-08-28,,D4,investigación,CRM PGT mapeo (no construir),P2,hecho,,,08-investigacion/CRM-PGT-Y-VECTORIFY.md,,
OPS-32,,tarea,seo-operaciones,2026-08-28,,D4,investigación,Lighthouse comparativa POC vs WP,P2,hecho,,,08-investigacion/LIGHTHOUSE-COMPARATIVA.md,99 vs 55,
OPS-33,,tarea,seo-operaciones,2026-08-31,,D5,investigación,Greenfield plan maestro,P2,hecho,,,08-investigacion/GREENFIELD-PGT-PLAN-MAESTRO.md,,
OPS-34,,tarea,seo-operaciones,2026-09-01,,D6,investigación,Diseño gestión accesos Vaultwarden,P2,hecho,,,02-empresa/GESTION-ACCESOS-DISENO.md,,
OPS-35,,tarea,seo-operaciones,2026-08-28,,D4,guías,Guías CTR Things MP,P1,hecho,,,03-seo/guias/CTR-THINGS-MP-WP-PASO-A-PASO.md,,
OPS-36,,tarea,seo-operaciones,2026-09-01,,D6,guías,Medición leads WA web actual,P1,hecho,,,03-seo/guias/MEDIR-LEADS-WEB-ACTUAL.md,,
OPS-37,,tarea,seo-operaciones,2026-09-01,,D6,guías,Drupal sprint diario,P1,hecho,,,03-seo/guias/DRUPAL-SPRINT-JAIRO-HOY.md,,
OPS-38,,tarea,seo-operaciones,2026-09-01,,D6,integraciones,MCP Google GA4+GSC+Drive OAuth,P1,hecho,,,.cursor/mcp.json,verify 7/7,
OPS-39,,tarea,seo-operaciones,,,,integraciones,GSC SA propiedad ES (403),P2,pendiente,,,../pgt-web/docs/INVENTARIO-PLATAFORMAS.md,,
OPS-40,,tarea,seo-operaciones,,,,geo,GEO baseline 10 prompts,P2,pendiente,,,04-geo/BASELINE-PLANTILLA.md,,
OPS-41,,tarea,seo-operaciones,,,,equipo,Mapa paid↔orgánico con Lizet,P2,pendiente,,,05-marketing/ADS-GOOGLE-META.md,,
OPS-42,,tarea,seo-operaciones,,,,equipo,Avisar NAS linux_admin a Ricardo,P2,pendiente,,,01-situacion/BITACORA.md,,
OPS-43,,tarea,seo-operaciones,,,,blogs,Migrar 115 blogs bloque 4 (post-tours),P1,pendiente,,,03-seo/datos/blogs-jairo-2026-08-25.csv,0/115,
OPS-44,,tarea,seo-operaciones,2026-09-02,,D7,tracker,Sistema tracker 3 tracks + sync Sheet,P2,hecho,,,mi-carrera/tracker/TAREAS-MAESTRO.csv,,
OPS-45,,tarea,seo-operaciones,2026-09-03,,,hosting,Inventario WHM 17 cPanels + cPanel 500,P0,hecho,,,02-empresa/HOSTING-BANAHOSTING-INVENTARIO.md,load 47-58,
OPS-46,,tarea,seo-operaciones,2026-09-03,,,hosting,Confirmar MX EN Google Workspace vs cPanel,P0,hecho,,,02-empresa/HOSTING-BANAHOSTING-INVENTARIO.md,aspmx.l.google.com,
OPS-47,,tarea,seo-operaciones,2026-09-03,,,carrera,Mapa trabajo JT-001+ y TAREAS-VIVAS,P0,hecho,,,mi-carrera/MAPA-TRABAJO-JAIRO.md,JT-078,
